TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
CHEZ NOUS C'EST TROIS;Fiction;France/Belgique;1 208 314,00;FR/EN;;
CŒUR DES HOMMES 3 (LE);Fiction;France;8 565 554,00;FR/EN;;
DERNIERE FOIS QUE J'AI VI MACAO (LA);Documentaire;Portugal/France;386 612,00;FR/EN;;
EASTERN BOYS;Fiction;France;2 162 360,00;FR/EN;;
ELEFANTE BLANCO;Fiction;Espagne/France;3 200 661,00;FR/EN;;
ETRANGE COULEUR DES LARMES DE TON CORPS (L');Fiction;Belgique/France/Luxembourg;1 883 865,00;FR/EN;;
GARÇONS ET GUILLAUME, A TABLE ! (LES);Fiction;France;7 855 208,00;FR/EN;;
JACKY AU ROYAUME DES FILLES;Fiction;France;11 001 015,00;FR/EN;;
MARUSSIA;Fiction;France/Russie;325 000,00;FR/EN;;
SENS DE L'AGE (LE);Documentaire;France;300 707,00;FR/EN;;
SOLEILS;Fiction;France/Burkina Faso;942 835,00;FR/EN;;
TOUR DU FASO;Documentaire;Allemagne/France;513 980,00;FR/EN;;
VENDANGES;Documentaire;France;349 862,00;FR/EN;;
Amore non perdona (L');Fiction;Italie/France;0,87;FR/EN;;
Arunoday (sunrise);Fiction;Inde/France;0,52;FR/EN;;
Belles familles;Fiction;France;11,25;FR/EN;;
Bêtises (Les);Fiction;France;2,46;FR/EN;;
Deux Amis (Les);Fiction;France;2,79;FR/EN;;
Dieu protège ma fille;Fiction;France/Tunisie/Belgique;0,78;FR/EN;;
Fille du patron (La);Fiction;France;2,98;FR/EN;;
Hermine (L');Fiction;France;7,32;FR/EN;;
Mémoires du vent (Les);Fiction;Turquie/France/Allemagne/Géorgie;1,1;FR/EN;;
Nos arcadies;Fiction;France;3,94;FR/EN;;
Nouveau (Le);Fiction;France;3,66;FR/EN;;
Parabole de Zizou (La);Fiction;France/Tunisie;2,26;FR/EN;;
Sous les jupes des filles;Fiction;France;6,81;FR/EN;;
Taken 3;Fiction;France;51,46;FR/EN;;
The Valley of Love;Fiction;France;2,9;FR/EN;;
Un homme à la mer;Fiction;Belgique/France;1,13;FR/EN;;
A l'ombre des forêts;Fiction;France;5,07;FR/EN;;
Akwaba;Fiction;Belgique/France/Suisse;5,34;FR/EN;;
Chromobiles;Docu;France;0,22;FR/EN;;
Combattants (Les);Fiction;France;2,39;FR/EN;;
Divorce à la française;Fiction;France/Italie;7,95;FR/EN;;
Fidelio, l'odyssée d'Alice;Fiction;France;2,01;FR/EN;;
Iqbal, histoire d'un enfant qui n'avait pas peur;Anim;Italie/Canada/France;6,4;FR/EN;;
Jalousie (La);Fiction;France;2,41;FR/EN;;
Macadam popcorn;Docu;France;0,53;FR/EN;;
Nymphomaniac volume 2;Fiction;Danemark/Allemagne/France;4,53;FR/EN;;
Sorcières de Zugarramurdi (Les);Fiction;Espagne/France;5,13;FR/EN;;
Touriste;Fiction;Suède/Danemark/France;3,81;FR/EN;;
Un monde truqué;Anim;France/Canada/Belgique;9,18;FR/EN;;
Untitled 13;Fiction;Grande Bretagne/Allemagne/France;10,91;FR/EN;;
Weekend of a champion;Docu;France;0,34;FR/EN;;
Yeux jaunes des crocodiles (Les);Fiction;France/Espagne;10,55;FR/EN;;
Anarchistes (Les);Fiction;France;4837076;FR/EN;;
Araignée rouge (L');Fiction;France;8871151;FR/EN;;
Faut pas lui dire;Fiction;Belgique/France;2759620;FR/EN;;
Feu sacré (Le);Docu;France;159041;FR/EN;;
Going to Brazil;Fiction;France/Brésil;10097657;FR/EN;;
Indomptée (L');Fiction;France;1644103;FR/EN;;
Louise en hiver;Anim;France/Canada;3149152;FR/EN;;
Malheurs de Sophie (Les);Fiction;France;7817795;FR/EN;;
Marguerite;Fiction;France/Rep Tchèque/Belgique;7999982;FR/EN;;
Orpheline;Fiction;France;4629334;FR/EN;;
Potager de mon grand-père (Le);Docu;France;69620;FR/EN;;
Project lazarus;Fiction;Esp/France;5424364;FR/EN;;
Secret d'hiver;Fiction;France/Canada;1163015;FR/EN;;
Wolf and sheep;Fiction;Danemark/France/Suède;828032;FR/EN;;
BERNARD NI DIEU NI CHAUSSETTES;Documentaire;France;92 243,00;FR/EN;;
CAFE DE FLORE;Fiction;Canada/France;7 315 893,00;FR/EN;;
