TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
Les aventures de Spirou et Fantasio;Fiction;France;15 939 584,00;FR/EN;;
Love me not;Fiction;Grèce/France/Chypre;983 084,00;FR/EN;;
Manoir (Le);Fiction;France/Belgique;3 662 923,00;FR/EN;;
Une histoire de l'art;Fiction;France;2 958 391,00;FR/EN;;
Carré 35;Docu;France/Allemagne;616 670,00;FR/EN;;
Chacun sa vie et son ultime conviction;Fiction;France;7 533 419,00;FR/EN;;
Diamond Island;Fiction;France/Allemagne/Cambodge;905 873,00;FR/EN;;
Lola Pater;Fiction;France/Belgique;2 497 804,00;FR/EN;;
Loue moi;Fiction;France;3 105 395,00;FR/EN;;
Milla;Fiction;France/Portugal;671 599,00;FR/EN;;
Razzia;Fiction;France/Belgique/Maroc;3 379 484,00;FR/EN;;
Révolution Sida;Docu;France;1 017 914,00;FR/EN;;
Insyriated;Fiction;Belgique/France;1 152 000,00;FR/EN;;
ALIVE;Fiction;France/Belgique;5 334 583,00;FR/EN;;
DES ENFANTS QUI S'AIMENT;Fiction;France;1 112 109,00;FR/EN;;
EXILS;Fiction;France;2 001 955,00;FR/EN;;
FREESTYLE;Fiction;France;490 724,00;FR/EN;;
ROIS ET REINE;Fiction;France/Belgique;3 821 340,00;FR/EN;;
"THÉÂTRE ET RÉALITÉ RUSSES SELON ANTOINE VITEZ : PARTIE I ""IVANOV"" D'ANTON TCHEKHOV PARTIE II ""LE DON PAISIBLE "" DE M. CHOLOKHOV, LEÇON N°10 (1976-2002)";Documentaire;France;64 140,00;FR/EN;;
BAB EL WEB;Fiction;France;3 061 085,00;FR/EN;;
IL NE FAUT JURER DE RIEN !;Fiction;France;11 997 009,00;FR/EN;;
PONT DES ARTS (LE);Fiction;France;2 064 085,00;FR/EN;;
PROMENEUR DU CHAMP DE MARS (LE);Fiction;France;4 629 488,00;FR/EN;;
THE SHADOW DANCER;Fiction;Italie/Grande Bretagne/France;8 564 579,00;FR/EN;;
YEUX CLAIRS (LES);Fiction;France;2 212 027,00;FR/EN;;
AZUR ET ASMAR;Animation;France/Belgique/Espagne/Italie;9 473 614,00;FR/EN;;
D'UN VILLAGE À L'AUTRE;Fiction;Grece/France;825 046,00;FR/EN;;
INTOUCHABLE (L');Fiction;France;923 235,00;FR/EN;;
KLIMT;Fiction;Autriche/Allemagne/Grande Bretagne/France;6 636 790,00;FR/EN;;
MES COPINES;Fiction;France/Belgique;3 848 717,00;FR/EN;;
20 ANS D'ECART;Fiction;France;10 059 847,00;FR/EN;;
ARRETEZ-MOI !;Fiction;France/Luxembourg/Belgique;3 990 709,00;FR/EN;;
COMMENT J'AI DETESTE LES MATHS;Documentaire;France;629 965,00;FR/EN;;
DARK TOUCH;Fiction;Irlande/France/Suede;2 729 542,00;FR/EN;;
DIE ANDERE HEIMAT (L'AUTRE TERRE NATALE);Fiction;Allemagne/France;7 947 033,00;FR/EN;;
MA MAMAN EST EN AMERIQUE, ELLE A RENCONTRE BUFFALO BILL;Animation;France/Luxembourg;3 735 600,00;FR/EN;;
MOBIUS;Fiction;France/Luxembourg/Belgique;15 236 470,00;FR/EN;;
RUE MANDAR;Fiction;France;3 197 875,00;FR/EN;;
RUEE VERS L'ART (LA);Documentaire;France;1 045 627,00;FR/EN;;
SINGING WOMEN;Fiction;Turquie/Allemagne/France;1 503 543,00;FR/EN;;
UNE JEUNE FILLE AUX CHEVEUX BLANCS;Fiction;France;3 342 142,00;FR/EN;;
UPGRADE;Fiction;Allemagne/Luxembourg/France;5 302 509,00;FR/EN;;
2 DAYS IN NEW YORK;Fiction;France/Allemagne;7 080 062,00;FR/EN;;
CORPO CELESTE;Fiction;Italie/France/Suisse;1 500 000,00;FR/EN;;
EXERCICE DE L'ETAT (L');Fiction;France/Belgique;6 548 121,00;FR/EN;;
KILL ME PLEASE;Fiction;Belgique/France;844 146,00;FR/EN;;
LIEUX SAINTS;Documentaire;France;193 456,00;FR/EN;;
LOW COST;Fiction;France;5 345 895,00;FR/EN;;
MOURIR ? PLUTÔT CREVER !;Documentaire;France;351 344,00;FR/EN;;
NI A VENDRE NI A LOUER;Fiction;France;3 388 015,00;FR/EN;;
NICOSTRATOS LE PELICAN;Fiction;France/Belgique/Grece;4 999 485,00;FR/EN;;
PERMISSION DE MINUIT (LA);Fiction;France/Belgique;4 594 967,00;FR/EN;;
SPORT DE FILLES;Fiction;France/Allemagne;4 812 229,00;FR/EN;;
Après la bataille;Fiction;France/Belgique;1,5;FR/EN;;
Blessent mon coeur;Anim;France;3,6;FR/EN;;
Canibal;Fiction;Espagne/Roumanie/Russie/France;2;FR/EN;;
Chalvet, une longue marche vers la dignité;Docu;France;0,86;FR/EN;;
Du goudron et des plumes;Fiction;France/Allemagne;2,91;FR/EN;;
Gouffres (Les);Fiction;France;0,45;FR/EN;;
Grimoire d'Arkandias (Le);Fiction;France/Belgique;8,95;FR/EN;;
Lichtjahre;Fiction;Allemagne/France;3,45;FR/EN;;
Miss Julie;Fiction;Norvège/Grande Bretagne/Irlande/France;4,43;FR/EN;;
Oranais (L');Fiction;France/Algérie;3,5;FR/EN;;
You'll never walk alone;Fiction;France/Italie;2,28;FR/EN;;
BELLE EPINE;Fiction;France;1 864 561,00;FR/EN;;
CHAT DU RABBIN (LE);Animation;France;12 476 564,00;FR/EN;;
DES FILLES EN NOIR;Fiction;France;2 115 960,00;FR/EN;;
HOMME QUI VOULAIT VIVRE SA VIE (L');Fiction;France;13 012 866,00;FR/EN;;
PRINCESSE DE MONTPENSIER (LA);Fiction;France/Allemagne;13 353 000,00;FR/EN;;
RAFLE (LA);Fiction;France/Allemagne/Hongrie;19 976 200,00;FR/EN;;
ROBERT MITCHUM EST MORT;Fiction;France/Belgique/Pologne/Norvege;1 440 000,00;FR/EN;;
SANS QUEUE NI TETE;Fiction;France/Luxembourg/Belgique;4 740 000,00;FR/EN;;
UNE VIE TOUTE NEUVE;Fiction;Coree/France;768 300,00;FR/EN;;
2 DAYS IN PARIS;Fiction;France/Allemagne;1 241 352,00;FR/EN;;
BABYLON A.D.;Fiction;France;50 822 854,00;FR/EN;;
CHANT DES MARIEES (LE);Fiction;France;2 855 286,00;FR/EN;;
CLIENTE;Fiction;France;9 554 469,00;FR/EN;;
COUNTRY TEACHER;Fiction;Allemagne/Republique Tcheque/France;2 270 751,00;FR/EN;;
FIEVRE DE L'OR (LA);Documentaire;France;783 295,00;FR/EN;;
FINE PENA MAI;Fiction;Italie/France;2 150 000,00;FR/EN;;
IMPORTANT C'EST DE RESTER VIVANT (L');Documentaire;France;700 356,00;FR/EN;;
MUSÉE HAUT, MUSÉE BAS;Fiction;France;8 933 738,00;FR/EN;;
SANS ETAT D'AME;Fiction;France/Italie;4 188 179,00;FR/EN;;
TU PEUX GARDER UN SECRET;Fiction;France;6 034 248,00;FR/EN;;
A trois on y va;Fiction;France;4;FR/EN;;
Attesa (L');Fiction;Italie/France;2,85;FR/EN;;
Boomerang;Fiction;France;3,65;FR/EN;;
Nuits blanches sur la jetée;Fiction;France;0,12;FR/EN;;
Ogres (Les);Fiction;France;3,03;FR/EN;;
Tout, tout de suite;Fiction;France/Luxembourg/Belgique;7,38;FR/EN;;
Tu veux ou tu veux pas;Fiction;France/Belgique;10,67;FR/EN;;
Volante (La);Fiction;France/Luxembourg/Belgique;2,91;FR/EN;;
CENDRILLON AU FAR WEST;Animation;France/Belgique;10 827 474,00;FR/EN;;
CRAWL;Fiction;France;1 168 496,00;FR/EN;;
DANS LA MAISON;Fiction;France;9 213 105,00;FR/EN;;
MAISON DE LA RADIO (LA);Documentaire;France;1 261 722,00;FR/EN;;
OUF;Fiction;France;1 335 434,00;FR/EN;;
BOXES;Fiction;France;2 089 318,00;FR/EN;;
HEROS DE LA FAMILLE (LE);Fiction;France/Italie;12 008 862,00;FR/EN;;
J'VEUX PAS QUE TU T'EN AILLES;Fiction;France;3 958 342,00;FR/EN;;
OÙ AVAIS-JE LA TÊTE ?;Fiction;France;1 476 227,00;FR/EN;;
PUR WEEK END;Fiction;France;5 246 360,00;FR/EN;;
YVETTE, BON DIEU !;Documentaire;France;389 141,00;FR/EN;;
ARTHUR 3 ET LA GUERRE DES DEUX MONDES;Animation;France;68 832 453,00;FR/EN;;
AU VOLEUR;Fiction;France;1 512 805,00;FR/EN;;
J'AI OUBLIÉ DE TE DIRE;Fiction;France;2 363 469,00;FR/EN;;
J'IRAI DORMIR A HOLLYWOOD;Documentaire;France;1 090 006,00;FR/EN;;
Cigarettes et chocolat chaud;Fiction;France;3267204;FR/EN;;
Couple in a hole;Fiction;Grande Bretagne/Belgique/France;840269;FR/EN;;
Défense d'aimer;Fiction;France;6567271;FR/EN;;
Familles je vous aime;Fiction;France;6004079;FR/EN;;
Jamais contente;Fiction;France;3114449;FR/EN;;
Sangue del moi sangue;Fiction;Italie/France/Suisse;1531981;FR/EN;;
Transporteur : héritage (Le);Fiction;France;24926736;FR/EN;;
Bernard;Fiction;France;4 458 648,00;FR/EN;;
Demons in paradise;Docu;France;330 475,00;FR/EN;;
Etoiles restantes (Les);Fiction;France;153 725,00;FR/EN;;
Inspiratrice (L');Fiction;France;2 678 441,00;FR/EN;;
Mystère Henri Pick (Le);Fiction;France;7 412 614,00;FR/EN;;
Oiseau et l'Enfant (L');Fiction;France;11 876 845,00;FR/EN;;
Pompei;Fiction;Belgique/France/Canada;2 621 460,00;FR/EN;;
Rojo;Fiction;Argentine/France/Brésil;1 218 843,00;FR/EN;;
Si demain…;Fiction;France;1 184 303,00;FR/EN;;
Vic le viking, le film;Anim;Allemagne/France/Belgique;11 513 191,00;FR/EN;;
15 minutes de guerre;Fiction;France;4 737 388,00;FR/EN;;
Ami-ami;Fiction;France;2 903 872,00;FR/EN;;
Belle et la meute (La);Fiction;Tunisie/France;776 381,00;FR/EN;;
Grande-Synthe;Docu;France;305 720,00;FR/EN;;
Maman est morte;Fiction;France;1 028 057,00;FR/EN;;
Mon brillantissime divorce;Fiction;France;5 963 775,00;FR/EN;;
Prière (La);Fiction;France;3 995 474,00;FR/EN;;
Sun;Fiction;France;2 117 140,00;FR/EN;;
Tristes Monroes;Fiction;Portugal/France/Brésil;1 310 810,00;FR/EN;;
Cornélius, le meunier hurlant;Fiction;France;4 701 761,00;FR/EN;;
Fameuse invasion de la Sicile par les ours (La);Anim;France/Italie;12 031 501,00;FR/EN;;
Kinoa;Anim;France;190 557,00;FR/EN;;
Paris la blanche;Fiction;France;1 548 834,00;FR/EN;;
Un berger à l'Elysée;Docu;France;171 759,00;FR/EN;;
Julie-Aïcha;Fiction;Maroc/France;640 410,00;FR/EN;;
Stefan Zweig, adieu l'Europe;Fiction;Allemagne/France/Autriche;3 485 200,00;FR/EN;;
AUX ABOIS;Fiction;France;2 183 115,00;FR/EN;;
DADDY, DADDY USA;Documentaire;France;825 005,00;FR/EN;;
DEAR WENDY;Fiction;Danemark/France/Allemagne/Grande Bretagne;6 863 515,00;FR/EN;;
GENS HONNETES VIVENT EN FRANCE (LES);Fiction;France/Belgique/Espagne/Colombie;3 963 808,00;FR/EN;;
IL SERA UNE FOIS;Fiction;France/Danemark;3 000 000,00;FR/EN;;
PEOPLE : JET SET 2;Fiction;France;13 571 102,00;FR/EN;;
PETITE CHARTREUSE (LA);Fiction;France;3 395 588,00;FR/EN;;
REGARDE-MOI (EN FACE);Fiction;France;214 762,00;FR/EN;;
TERRE VUE DU CIEL (LA);Documentaire;France;2 782 518,00;FR/EN;;
TOUT POUR PLAIRE;Fiction;France/Belgique;5 312 910,00;FR/EN;;
VOICI VENU LE TEMPS;Fiction;France;1 228 483,00;FR/EN;;
ZE FILM;Fiction;France;4 000 458,00;FR/EN;;
ATOMIK CIRCUS;Fiction;France/Allemagne/Grande Bretagne;16 002 267,00;FR/EN;;
BLANCHE NEIGE LA SUITE;Animation;Belgique/France/Grande Bretagne;5 074 171,47;FR/EN;;
ECLAIREUR (L');Fiction;France;1 200 854,00;FR/EN;;
FAUTES D'ORTHOGRAPHE (LES);Fiction;France;4 444 392,00;FR/EN;;
ONE DOLLAR CURRY;Fiction;France/Inde;2 022 030,00;FR/EN;;
OUAGA SAGA;Fiction;France/Burkina Faso;1 946 000,00;FR/EN;;
PROCESS;Fiction;France/Grande Bretagne;2 901 000,00;FR/EN;;
STEP BY STEP;Fiction;France;356 591,00;FR/EN;;
TOUT PRES DU SOL;Fiction;Canada/France;1 871 080,00;FR/EN;;
A PERFECT DAY (NAOUSÉ);Fiction;France/Liban;499 205,00;FR/EN;;
ANDALUCIA;Fiction;France;1 859 527,00;FR/EN;;
BARAKAT !;Fiction;France;1 785 137,00;FR/EN;;
GOLDEN DOOR;Fiction;Italie/France;11 702 815,00;FR/EN;;
ILS;Fiction;France/Roumanie;1 841 534,00;FR/EN;;
LIÈVRE DE VATANEN (LE);Fiction;France/Belgique/Bulgarie;7 622 962,00;FR/EN;;
ROYAUME DES RAPIATS (LE);Fiction;France;373 006,00;FR/EN;;
SECTEUR 545;Documentaire;France;117 840,00;FR/EN;;
WAH WAH;Fiction;Grande Bretagne/France;6 039 251,00;FR/EN;;
Avenir (L');Fiction;France/Allemagne;3230860;FR/EN;;
Brice 3;Fiction;France;15922715;FR/EN;;
Colonia dignidad;Fiction;Allemagne/Luxembourg/France;10319007;FR/EN;;
El dorado - la rinconada;Docu;Portugal/France;229493;FR/EN;;
Fils de Joseph (Le);Fiction;France/Belgique;1807817;FR/EN;;
Garçons sauvages (Les);Fiction;France;1939349;FR/EN;;
I.t.;Fiction;Irlande/France/Danemark;11250379;FR/EN;;
Papesse Jeanne (La);Fiction;France;894330;FR/EN;;
Photos de famille;Fiction;Roumanie/France/Belgique;1945097;FR/EN;;
Tale of tales;Fiction;Italie/France;10914620;FR/EN;;
Tuche 2 (Les);Fiction;France;15190618;FR/EN;;
Vicky;Fiction;France;3990597;FR/EN;;
Victoria;Fiction;France;3994999;FR/EN;;
CARNAGE;Fiction;France/Allemagne/Pologne/Espagne;20 002 002,00;FR/EN;;
CONFESSION D'UN ENFANT DU SIÈCLE;Fiction;France/Allemagne/Grande Bretagne;4 250 671,00;FR/EN;;
FREE ANGELA AND ALL POLITICAL PRISONERS;Documentaire;France;833 200,00;FR/EN;;
HANNA ARENDT (LA CONTROVERSE);Fiction;Allemagne/Luxembourg/France;6 503 006,00;FR/EN;;
JE ME SUIS FAIT TOUT PETIT;Fiction;France;3 828 676,00;FR/EN;;
KAIRA (LES);Fiction;France;3 995 859,00;FR/EN;;
MOBILE HOME;Fiction;Belgique/France/Luxembourg;2 654 856,00;FR/EN;;
PRÉNOM (LE);Fiction;France;11 029 596,00;FR/EN;;
VIE D'UNE AUTRE (LA);Fiction;France/Luxembourg/Belgique;6 201 593,00;FR/EN;;
VOUS N'AVEZ ENCORE RIEN VU;Fiction;France/Allemagne;8 013 836,00;FR/EN;;
Amour sur place ou à emporter;Fiction;France;4,9;FR/EN;;
Avis de mistral;Fiction;France;8,43;FR/EN;;
Cosmodrama;Fiction;France/Belgique;1,78;FR/EN;;
Fast life;Fiction;France;6,13;FR/EN;;
Gaby baby doll;Fiction;France;1,56;FR/EN;;
Gus;Anim;France;8,69;FR/EN;;
Harmonie familiale (L');Fiction;France;0,1;FR/EN;;
Il Ragazzo invisible;Fiction;Italie/France;7,96;FR/EN;;
Jamel;Docu;France;0,18;FR/EN;;
Je suis femme;Fiction;France;8,95;FR/EN;;
Moomins on the riviera;Anim;Finlande/France;3,58;FR/EN;;
Supercondriaque;Fiction;France/Belgique;31,68;FR/EN;;
Bien (Le);Docu;France/Suisse;0,48;FR/EN;;
Ce sentiment de l'été;Fiction;France/Allemagne;2,92;FR/EN;;
Combat ordinaire (Le);Fiction;France;2,04;FR/EN;;
Des Apaches;Fiction;France;2,78;FR/EN;;
Il nous reste la nuit;Fiction;France;1,69;FR/EN;;
Je suis à vous tout de suite;Fiction;France;3,94;FR/EN;;
Looking for Europe;Docu;France;1,81;FR/EN;;
Porte-flingues (Les);Fiction;France;13,47;FR/EN;;
Président (Le);Fiction;Géorgie/France/Grande Bretagne/Allemagne;1,44;FR/EN;;
DANS LA PEAU DE JACQUES CHIRAC;Fiction;France;1 839 045,00;FR/EN;;
DISPARUE DE DEAUVILLE (LA);Fiction;France;7 538 291,00;FR/EN;;
ENNEMI INTIME (L');Fiction;France;9 780 944,00;FR/EN;;
FRAGILE(S);Fiction;France;3 912 928,00;FR/EN;;
FRONTIÈRE(S);Fiction;France;1 927 429,00;FR/EN;;
MECHE BLANCHE LES AVENTURES DU PETIT CASTOR;Fiction;France/Canada;2 800 000,00;FR/EN;;
MON MEILLEUR AMI;Fiction;France/Italie;11 318 192,00;FR/EN;;
TOITS DE PARIS (LES);Fiction;France;2 310 143,00;FR/EN;;
UN ROMAN POLICIER;Fiction;France;1 562 045,00;FR/EN;;
… TIREZ LA LANGUE MADEMOISELLE !;Fiction;France;1 764 584,00;FR/EN;;
BELLES ANNEES (LES);Fiction;France;1 842 352,00;FR/EN;;
CREME DE LA CREME (LA);Fiction;France;3 990 149,00;FR/EN;;
DERNIERE ODYSSEE DE LA JEANNE (LA);Documentaire;France;60 196,00;FR/EN;;
DISPARAISSEZ LES OUVRIERS !;Documentaire;France;153 979,00;FR/EN;;
JE FAIS LE MORT;Fiction;France/Belgique;6 307 350,00;FR/EN;;
LA OÙ TOMBENT LES ANGES;Fiction;France;15 999 642,00;FR/EN;;
WRONG COPS;Fiction;France;1 733 357,00;FR/EN;;
ANTICHRIST;Fiction;Danemark/Allemagne/France/Suede/Italie;7 686 326,00;FR/EN;;
CHANTRAPAS;Fiction;France;3 136 371,00;FR/EN;;
DOG POUND;Fiction;France/Canada;4 827 044,00;FR/EN;;
MEMORY LANE;Fiction;France;1 180 704,00;FR/EN;;
REVOLTES DE L'ILE DU DIABLE (LES);Fiction;Norvege/Pologne/Suede/France;5 296 837,00;FR/EN;;
TETE AILLEURS (LA);Fiction;France;1 054 741,00;FR/EN;;
TETE DE TURC;Fiction;France;5 529 103,00;FR/EN;;
WOMB;Fiction;Allemagne/Hongrie/France;3 658 269,00;FR/EN;;
EMMURÉS (LES);Fiction;Canada/France;4 899 249,00;FR/EN;;
ENFANTS DE TIMPELBACH (LES);Fiction;France/Belgique/Luxembourg;13 154 113,00;FR/EN;;
KOMMUNALKA;Documentaire;France;420 379,00;FR/EN;;
LADS & JOCKEYS;Documentaire;France;457 772,00;FR/EN;;
LEUR MORALE… ET LA NOTRE;Fiction;France;8 029 441,00;FR/EN;;
NE TE RETOURNE PAS;Fiction;France/Luxembourg/Belgique/Italie;11 606 000,00;FR/EN;;
UN HOMME PERDU;Fiction;France;2 990 413,00;FR/EN;;
VIOLETTES (LES);Fiction;France;841 809,00;FR/EN;;
ZION & SON FRERE;Fiction;Israel/France;874 411,00;FR/EN;;
7 MINUTES AU PARADIS;Fiction;Israel/France;492 896,00;FR/EN;;
AU NOM DES TROIS COULEURS;Documentaire;France;338 339,00;FR/EN;;
REGATE (LA);Fiction;Luxembourg/Belgique/France;2 400 055,00;FR/EN;;
RICKY;Fiction;France/Italie;6 376 698,00;FR/EN;;
ROMAINE PAR MOINS 30;Fiction;France/Canada;4 200 001,00;FR/EN;;
SEMINAIRE (LE);Fiction;France;8 244 875,00;FR/EN;;
VILAIN (LE);Fiction;France;6 995 300,00;FR/EN;;
C'EST PARTI;Documentaire;France;279 189,00;FR/EN;;
FEMME DU VEME (LA);Fiction;France/Pologne;5 307 655,00;FR/EN;;
IL RESTE DU JAMBON ?;Fiction;France;6 896 470,00;FR/EN;;
KIDNAPPES;Fiction;Espagne/France;765 000,00;FR/EN;;
MELANCHOLIA;Fiction;Danemark/Suede/France/Italie/Allemagne;7 012 977,00;FR/EN;;
PARADIS : AMOUR;Fiction;Autriche/Allemagne/France;3 540 121,00;FR/EN;;
SUR LA ROUTE;Fiction;France/Bresil;19 281 935,00;FR/EN;;
Alice et le maire;Fiction;France;4 931 080,00;FR/EN;;
Arthur et Célia;Fiction;France;3 032 057,00;FR/EN;;
Astérix et le secret de la potion magique;Anim;France;33 710 811,00;FR/EN;;
Ballade pour un cœur en miettes;Fiction;Grèce/Chypre/Allemagne/France;1 598 286,00;FR/EN;;
Equilibristes (Les);Docu;France;392 401,00;FR/EN;;
Fugue;Docu;France/Rép Tchèque/Argentine/Autriche;585 737,00;FR/EN;;
Furie;Fiction;France;2 097 298,00;FR/EN;;
Martin Eden;Fiction;Italie/Allemagne/France;3 947 807,00;FR/EN;;
Music stax Academy;Docu;France;141 481,00;FR/EN;;
Retour à Bollene;Fiction;France;337 222,00;FR/EN;;
The county;Fiction;Islande/Danemark/Allemagne/France;2 463 558,00;FR/EN;;
D'après une histoire vraie;Fiction;France/Pologne;13 991 037,00;FR/EN;;
L'Empereur de Paris;Fiction;France;22 102 467,00;FR/EN;;
Aurore;Fiction;France;3 268 805,00;FR/EN;;
Forêt des Quinconces (La);Fiction;France;377 501,00;FR/EN;;
Grand froid;Fiction;France/Belgique/Pologne;3 994 823,00;FR/EN;;
Hérétique (L');Fiction;France;1 815 445,00;FR/EN;;
Mariage (blanc) pour tous;Fiction;France;5 234 970,00;FR/EN;;
Bonnes manières (Les);Fiction;Brésil/France;2 232 215,00;FR/EN;;
Message from the King;Fiction;Grande Bretagne/Belgique/France;7 953 876,00;FR/EN;;
Mon ange;Fiction;Belgique/France;1 121 984,00;FR/EN;;
Virus;Fiction;Grèce/France/Lettonie;932 800,00;FR/EN;;
AGATHE CLÉRY;Fiction;France;22 315 129,00;FR/EN;;
CHINE EST ENCORE LOIN (LA);Documentaire;France;1 006 731,00;FR/EN;;
CITRONNIERS (LES);Fiction;Israel/France;2 075 550,00;FR/EN;;
COWBOY ANGELS;Fiction;France;712 309,00;FR/EN;;
FEMMES DU MONT ARARAT (LES);Documentaire;France;216 236,00;FR/EN;;
JOHNNY MAD DOG;Fiction;France/Belgique;2 308 599,00;FR/EN;;
KATO KATO;Fiction;France/Burkina Faso;971 498,00;FR/EN;;
OU EST LA MAIN DE L'HOMME SANS TETE;Fiction;Belgique/France/Pays Bas;2 005 857,00;FR/EN;;
PASSE PASSE;Fiction;France/Suisse;6 916 271,00;FR/EN;;
RIO LIGNE 174;Fiction;Bresil/France;3 993 277,00;FR/EN;;
UNE NOUVELLE ERE GLACIAIRE;Fiction;France;852 780,00;FR/EN;;
ALYAH;Fiction;France;1 796 870,00;FR/EN;;
ANOTHER SILENCE;Fiction;France/Canada/Argentine/Bresil;2 286 088,00;FR/EN;;
BEAUTY;Fiction;Afrique Du Sud/France;869 558,00;FR/EN;;
JAPPELOUP;Fiction;France/Canada;26 021 043,00;FR/EN;;
JEAN DE LA LUNE;Animation;Allemagne/France/Irlande;4 160 000,00;FR/EN;;
LENDEMAINS (LES);Fiction;France;1 186 696,00;FR/EN;;
NUIT NOMADE (LA);Documentaire;France;650 064,00;FR/EN;;
OR NOIR;Fiction;France/Italie;38 552 268,00;FR/EN;;
TURF;Fiction;France;22 996 394,00;FR/EN;;
CARTOUCHES GAULOISES;Fiction;France;1 994 844,00;FR/EN;;
DANS PARIS;Fiction;France;2 208 086,00;FR/EN;;
DEUXIÈME SOUFFLE (LE);Fiction;France;21 121 564,00;FR/EN;;
ENSEMBLE, C'EST TOUT;Fiction;France;12 215 023,00;FR/EN;;
JE DÉTESTE LES ENFANTS DES AUTRES;Fiction;France;2 947 239,00;FR/EN;;
NOS RETROUVAILLES;Fiction;France;1 672 038,00;FR/EN;;
PARS VITE ET REVIENS TARD;Fiction;France/Italie;16 026 815,00;FR/EN;;
SÉQUENCES MONGOLES;Documentaire;France/Suisse/Belgique;1 249 175,00;FR/EN;;
TÊTE DE MAMAN (LA);Fiction;France;6 771 394,00;FR/EN;;
VÉRITÉ OU PRESQUE (LA);Fiction;France;5 318 856,00;FR/EN;;
BRICE DE NICE;Fiction;France;5 335 325,00;FR/EN;;
CONDOR : LES AXES DU MAL;Documentaire;France;86 466,00;FR/EN;;
ILS NE MOURAIENT PAS MAIS TOUS ETAIENT FRAPPES;Documentaire;France/Belgique;475 771,00;FR/EN;;
MISS MONTIGNY;Fiction;Luxembourg/Belgique/France/Grande Bretagne;2 510 133,00;FR/EN;;
PALAIS ROYAL!;Fiction;France/Grande Bretagne;14 002 650,00;FR/EN;;
PLUS BEAU JOUR DE MA VIE (LE);Fiction;France/Belgique;5 213 353,00;FR/EN;;
SAUF LE RESPECT QUE JE VOUS DOIS;Fiction;France;1 986 197,00;FR/EN;;
UNE AVENTURE;Fiction;France/Belgique;3 801 773,00;FR/EN;;
20 CENTIMETRES;Fiction;Espagne/France;3 500 000,00;FR/EN;;
DIAS DE CAMPO - JOURNEES A LA CAMPAGNE;Fiction;France/Chili;887 955,00;FR/EN;;
ECOUTE LE TEMPS;Fiction;France;2 094 398,00;FR/EN;;
HELL;Fiction;France;2 512 141,00;FR/EN;;
HOUSE OF NINE;Fiction;Grande Bretagne/Roumanie/Allemagne/France;7 443 924,00;FR/EN;;
INCONTRÔLABLE;Fiction;France;12 904 996,00;FR/EN;;
JE VAIS BIEN, NE T'EN FAIS PAS;Fiction;France;4 554 287,00;FR/EN;;
SUZANNE;Fiction;France;1 016 059,00;FR/EN;;
C'est le métier qui rentre;Fiction;France;3859331;FR/EN;;
Dans la forêt;Fiction;France;2896155;FR/EN;;
Family film;Fiction;Rep Tchèque/Allemagne/Slovénie/Slovaquie/France;1599444;FR/EN;;
Garçon (Le);Fiction;France/Canada;6852162;FR/EN;;
Hibou;Fiction;France/Canada;3992019;FR/EN;;
I, daniel blake;Fiction;Grande Bretagne/France/Belgique;4655645;FR/EN;;
La voz en off;Fiction;Chili/France;615932;FR/EN;;
Loi de la jungle (La);Fiction;France;3854604;FR/EN;;
Polina;Fiction;France;3992608;FR/EN;;
Sahara;Anim;France/Canada;12230027;FR/EN;;
Une histoire américaine;Fiction;France;210146;FR/EN;;
Vienne avant la nuit;Docu;France/Allemagne/Autriche;700387;FR/EN;;
Viva la sposa;Fiction;Italie/France/Belgique;1327048;FR/EN;;
ABUS DE FAIBLESSE;Fiction;France/Belgique;3 984 660,00;FR/EN;;
AMOUR & TURBULENCES;Fiction;France;6 311 493,00;FR/EN;;
CHEBA;Fiction;France;3 775 496,00;FR/EN;;
DIAZ;Fiction;Italie/Roumanie/France;6 000 000,00;FR/EN;;
DJECA, ENFANTS DE SARAJEVO;Fiction;Bosnie Herzegovine/Allemagne/France/Turquie;1 289 633,00;FR/EN;;
JE M'APPELLE HMMM…;Fiction;France;2 170 996,00;FR/EN;;
OPERACION E;Fiction;Espagne/France;3 732 214,00;FR/EN;;
PARIS A TOUT PRIX;Fiction;France;3 995 759,00;FR/EN;;
PETITS PRINCES (LES);Fiction;France;3 835 047,00;FR/EN;;
PROFS (LES);Fiction;France;11 803 854,00;FR/EN;;
VIOLETTE;Fiction;France/Belgique;5 983 824,00;FR/EN;;
ZULU;Fiction;France/Afrique Du Sud;16 230 564,00;FR/EN;;
Belle et la Bête (La);Fiction;France/Allemagne;34,05;FR/EN;;
Goal of the Dead seconde mi-temps;Fiction;France;1,73;FR/EN;;
Je me tue à le dire;Fiction;Belgique/France;1,78;FR/EN;;
Métamorphoses;Fiction;France;3,95;FR/EN;;
Mon âme par toi guérie;Fiction;France;1,51;FR/EN;;
Nymphomaniac volume 1;Fiction;Danemark/Allemagne/France;4,53;FR/EN;;
Rançon de la gloire (La);Fiction;France/Suisse/Belgique;8,11;FR/EN;;
Yves Saint Laurent;Fiction;France;12,02;FR/EN;;
ART DE SEDUIRE (L');Fiction;France;1 321 465,00;FR/EN;;
CHANCE DE MA VIE (LA);Fiction;France/Belgique;7 516 909,00;FR/EN;;
JOURNAL DE FRANCE;Documentaire;France;2 829 573,00;FR/EN;;
